City_Id,City_Name,City_Name_Ar,Zone_Id,Zone_Name,Zone_Name_Ar,District_Id,District_Name,District_Name_Ar,Pickup_Availability,DropOff_Availability,Zone_Hub_Code,District_Hub_Code,District_FM_Hub_Code
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,SFwAHJ3YCot,Borg ElArab,برج العرب,UCg4UdK6hVO,ElAgharbanaat,الغربانيات,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,SFwAHJ3YCot,Borg ElArab,برج العرب,cts_CfcneO_,Hod Sakarah,حوض سقاره,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,SFwAHJ3YCot,Borg ElArab,برج العرب,l9ynAAizYP7,Ezbet ElOla,عزبه العلا,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,Dcz5iviLLiJ,ElMontazah,المنتزه,p0kDGam6z_c,ElTawfiqeyah,التوفيقيه,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,Dcz5iviLLiJ,ElMontazah,المنتزه,Up-xlPdT8aD,Hawd 14,حوض 14,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,ZIm2KYviCeV,Moharram Bek,محرم بك,NjpRHXGI7sZ,Abis 07,ابيس 07,FALSE,FALSE,ALEXANDRIA,ALEXANDRIA,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,ZIm2KYviCeV,Moharram Bek,محرم بك,xygsmuk94pl,Abis 08,ابيس 08,FALSE,FALSE,ALEXANDRIA,ALEXANDRIA,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,AiYSIVQZtiB,ElAmaria,العامريه,RceAhUEaqTG,Qetaa ElNahdah,قطاع النهضه,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,SFwAHJ3YCot,Borg ElArab,برج العرب,OcvvFkFZmjW,Abu Hamad,ابو حماد,FALSE,FALSE,,,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,ZIm2KYviCeV,Moharram Bek,محرم بك,pm1m5MHxOr6,ElAbid Bridge,كوبري العبيد,FALSE,FALSE,ALEXANDRIA,ALEXANDRIA,
Jrb6X6ucjiYgMP4T7,Alexandria,الاسكندريه,ZIm2KYviCeV,Moharram Bek,محرم بك,JeTPJUHHqxB,Abis 05,ابيس 05,FALSE,FALSE,ALEXANDRIA,ALEXANDRIA,
